"効果",56,80,68,39,60,83,48,36,94,96,62,100,65,95
"増加",54,54,85,37,73,87,71,67,72,67,66,70,53,54
"形成",54,49,56,57,44,63,41,55,75,79,54,67,51,0
"地域",54,86,96,49,75,79,35,50,103,74,52,57,63,88
"河川",54,68,61,34,52,52,68,54,55,80,47,54,61,45
"餌",54,60,59,22,52,60,78,34,67,79,57,52,36,69
"組成",51,52,47,55,73,59,59,80,93,84,81,102,120,104
"空間",51,72,74,0,56,74,42,77,77,55,67,64,42,71
"利用",50,71,61,54,51,63,65,41,93,73,90,57,39,68
"変動",50,42,62,22,0,0,44,40,71,55,68,77,56,61
"栄養",50,0,52,0,0,36,0,0,0,0,0,0,0,0
"資源",50,75,85,27,43,50,43,0,62,59,42,49,0,53
"可能性",50,81,48,22,65,53,47,43,59,61,92,65,65,81
"構成",49,78,68,33,59,54,48,49,64,60,47,63,50,0
"魚類",49,49,0,0,38,48,47,41,0,70,0,45,43,37
"地点",48,45,54,0,50,66,36,54,91,61,103,96,71,72
"底",48,42,44,0,0,54,0,65,50,0,0,0,0,0
"優",47,59,53,22,47,35,35,39,55,44,40,58,0,37
"占",47,60,54,22,47,35,37,41,56,45,43,58,0,38
"食物網",47,52,67,0,0,0,0,40,0,0,0,0,0,0
"示唆",46,68,55,38,65,91,55,63,66,83,70,79,65,63
"維持",46,0,0,0,0,0,0,0,0,60,38,0,31,39
"サイズ",46,65,49,0,49,40,47,53,49,0,40,59,0,41
"特性",46,0,51,0,0,63,32,36,55,0,0,0,0,0
"保全",45,49,0,28,36,0,0,41,0,55,0,0,47,43
"要因",45,90,74,33,56,65,53,92,82,77,67,48,63,104
"採集",44,0,0,0,0,41,35,39,0,42,38,0,38,0
"種間",44,51,58,40,39,49,39,65,58,65,65,67,54,75
"対象",43,69,44,30,61,60,47,55,78,84,94,68,64,77
"実験",42,60,43,25,0,44,44,39,53,56,48,53,38,57
"成長",42,0,0,0,0,0,0,0,0,0,0,41,0,0
"競争",42,51,60,30,32,43,0,40,56,49,58,47,64,51
"評価",42,59,44,31,47,42,79,67,70,72,64,72,36,68
"モデル",42,69,90,36,51,68,43,34,53,43,47,83,48,45
"在来",42,0,0,0,0,0,0,0,0,0,0,0,0,0
"有機物",42,42,0,0,0,0,0,45,0,0,0,0,0,0
"検討",41,43,40,23,0,41,0,0,0,0,42,0,0,0
"比較",41,56,58,41,75,57,53,40,66,53,59,61,61,67
"植",41,0,0,0,33,0,42,39,80,54,43,0,0,0
"減少",40,54,54,26,77,56,48,55,58,60,56,67,75,58
"役割",40,0,0,0,0,0,0,0,0,0,0,0,0,0
"樹木",40,0,0,29,48,66,0,51,51,41,45,46,0,0
"目的",40,47,38,27,47,58,33,41,49,52,39,48,41,47
"種数",40,71,67,27,51,53,52,49,86,55,51,43,38,51
"傾向",39,46,42,24,40,52,39,44,56,53,48,57,43,52
"外来",39,0,0,0,0,0,0,0,0,0,44,0,0,0
"葉",39,0,0,29,46,71,72,0,60,0,43,48,0,51
"種多様性",38,0,41,0,0,0,0,0,0,0,0,54,0,39
"予測",37,0,43,0,32,0,0,39,0,38,0,52,48,0
"樹",37,0,0,0,0,0,0,0,0,0,0,0,0,0
"菌類",36,0,0,0,0,0,0,0,0,0,44,51,61,78
"外来種",36,0,0,0,0,0,0,0,0,0,0,0,0,0
"生物多様性",36,70,46,44,38,43,42,39,65,85,53,50,59,66
"アリ",35,0,0,0,0,0,0,0,0,0,0,0,0,0
"理解",34,54,0,0,0,38,0,44,0,0,0,45,39,37
"ザリガニ",34,0,0,0,0,0,0,0,0,0,0,0,0,0
"報告",33,45,0,21,46,35,0,0,0,0,41,0,35,42
"適応",33,0,39,0,0,0,0,0,0,0,0,0,0,0
"レベル",33,61,44,0,0,41,0,0,0,39,0,42,0,39
"季節",33,0,49,0,0,0,49,0,69,0,0,0,38,39
"理論",33,0,0,0,0,0,0,0,0,0,41,53,0,0
"AM",33,0,0,0,0,0,0,0,0,0,0,0,0,0
"出現",32,53,65,48,50,79,0,55,93,79,83,54,75,58
"確認",32,0,38,27,0,35,0,0,0,0,0,0,0,39
"微生物",0,93,0,27,0,0,50,58,0,43,76,0,54,67
"進化",0,88,85,27,58,54,49,0,55,48,46,60,0,44
"形質",0,80,76,50,53,80,86,56,76,76,67,68,41,70
"局所",0,71,49,23,0,35,0,35,0,0,0,0,0,0
"手法",0,70,0,0,33,0,0,38,0,41,0,45,51,0
"サンゴ",0,69,0,35,38,0,0,0,0,0,0,0,0,0
"スケール",0,69,39,35,35,41,0,49,0,0,0,53,0,0
"データ",0,68,55,0,62,60,38,67,77,47,85,91,93,50
"景観",0,66,0,23,0,0,0,0,0,39,0,0,39,44
"捕食者",0,60,60,0,42,0,0,0,44,0,0,0,0,0
"生態",0,59,43,0,0,40,37,33,0,54,47,83,31,40
"パターン",0,56,66,25,56,58,0,0,0,0,0,47,0,0
"鳥類",0,52,0,0,0,0,55,0,0,0,44,0,51,48
"伐採",0,51,0,0,0,0,0,0,0,0,0,0,0,0
"メタン",0,51,0,0,0,0,0,0,0,0,0,0,0,0
"野外",0,50,0,0,0,41,0,0,0,0,45,0,0,0
"開花",0,47,42,0,0,0,0,0,54,40,49,56,0,58
"林",0,47,0,0,0,0,0,0,0,0,0,0,40,0
"推定",0,45,0,0,43,0,0,0,53,0,0,49,38,0
"議論",0,45,0,24,0,0,0,0,0,0,0,0,0,0
"面積",0,45,0,0,37,50,0,37,55,39,0,42,39,0
"細菌",0,44,0,0,0,0,47,0,0,0,0,0,0,0
"速度",0,44,46,0,0,0,43,36,45,0,0,0,32,0
"分類",0,42,0,35,36,71,48,46,66,50,62,59,62,48
"過程",0,41,0,0,0,0,0,0,0,0,0,0,0,0
"考慮",0,40,0,0,0,0,0,0,44,0,0,0,0,0
"酸化",0,40,0,0,0,0,0,0,0,0,0,0,0,0
"LYTHA",0,0,64,0,0,0,0,0,0,0,0,0,0,0
"ニッチ",0,0,60,0,0,0,33,0,0,0,0,0,0,38
"窒素",0,0,47,0,0,0,0,33,0,43,0,0,0,0
"頻度",0,0,47,0,0,0,0,0,56,39,0,0,0,46
"種子",0,0,43,0,40,0,0,36,53,0,69,51,0,0
"管理",0,0,42,33,0,0,34,0,0,38,0,0,37,40
"散布",0,0,41,0,0,0,0,0,0,0,0,0,0,0
"共存",0,0,40,24,0,0,0,0,0,0,0,0,0,0
"移動",0,0,40,0,0,0,35,0,0,0,0,0,34,0
"2010年",0,0,39,0,0,0,0,0,0,0,0,0,0,0
"繁殖",0,0,38,0,0,0,48,0,0,0,41,41,0,40
"設置",0,0,38,0,47,0,36,43,0,47,0,0,40,54
"条件",0,0,38,0,0,0,33,43,58,0,0,48,0,40
"侵入",0,0,37,0,0,0,0,0,0,0,0,0,0,0
"光",0,0,0,35,52,0,0,0,0,0,0,0,0,0
"属",0,0,0,33,0,0,0,0,0,43,0,49,0,38
"訪花",0,0,0,33,0,0,43,0,45,0,0,0,48,53
"藻類",0,0,0,31,46,0,0,0,0,0,0,0,0,0
"畦",0,0,0,30,0,0,0,0,0,0,0,0,0,0
"枯死",0,0,0,28,0,0,0,0,0,0,0,0,0,0
"2011年",0,0,0,28,37,0,0,0,0,0,0,0,0,0
"応答",0,0,0,27,0,0,0,0,0,0,0,0,0,46
"生産",0,0,0,27,0,0,0,0,0,0,0,0,0,0
"プランクトン",0,0,0,27,0,0,0,0,0,0,0,0,0,0
"ネットワーク",0,0,0,26,0,0,0,0,0,0,47,49,43,0
"木",0,0,0,26,0,0,0,0,0,0,0,0,0,0
"状態",0,0,0,26,33,0,0,0,0,0,0,0,0,0
"腐朽",0,0,0,25,0,0,0,0,0,0,0,0,0,0
"分散",0,0,0,24,0,36,0,0,0,0,0,0,0,0
"湖沼",0,0,0,24,60,0,0,0,0,0,0,0,0,0
"人工林",0,0,0,24,0,0,0,0,0,0,0,0,0,0
"観察",0,0,0,23,0,0,0,35,0,0,0,0,0,0
"光合成",0,0,0,22,35,0,0,0,0,0,0,0,0,0
"プロセス",0,0,0,21,32,48,0,0,0,0,0,0,0,0
"検証",0,0,0,0,42,45,0,0,60,41,44,0,50,43
"プロット",0,0,0,0,40,0,0,0,0,0,0,0,0,0
"遷移",0,0,0,0,39,0,38,33,0,0,0,0,41,0
"場所",0,0,0,0,39,46,53,0,0,46,0,0,0,0
"2012年",0,0,0,0,38,0,0,0,0,0,0,0,0,0
"防御",0,0,0,0,37,0,0,0,0,0,0,0,0,0
"草地",0,0,0,0,35,0,0,0,0,0,0,0,0,0
"二次",0,0,0,0,34,0,0,0,0,0,0,0,0,0
"時間",0,0,0,0,33,0,38,33,48,49,41,41,46,72
"干潟",0,0,0,0,32,47,44,0,0,0,52,0,0,0
"系統",0,0,0,0,0,69,0,0,63,48,0,0,0,0
"標高",0,0,0,0,0,48,0,36,44,57,43,81,56,0
"説明",0,0,0,0,0,47,32,0,48,0,0,0,0,0
"林冠",0,0,0,0,0,45,0,0,0,0,0,0,0,0
"特徴",0,0,0,0,0,44,0,0,0,0,0,0,0,0
"花",0,0,0,0,0,41,61,0,58,0,0,62,49,86
"節足動物",0,0,0,0,0,39,0,0,0,0,0,0,0,0
"2013年",0,0,0,0,0,37,0,0,0,0,0,0,0,0
"分析",0,0,0,0,0,36,0,0,0,0,46,0,30,0
"行動",0,0,0,0,0,36,0,0,0,0,0,0,0,0
"選択",0,0,0,0,0,36,0,0,0,0,0,0,0,0
"平均",0,0,0,0,0,35,0,0,0,0,0,0,0,0
"菌根菌",0,0,0,0,0,0,53,0,0,0,0,0,0,0
"寄生",0,0,0,0,0,0,44,0,0,0,39,0,0,0
"共生",0,0,0,0,0,0,43,46,0,0,0,0,0,0
"送粉",0,0,0,0,0,0,42,35,60,57,57,57,91,77
"宿主",0,0,0,0,0,0,40,0,0,0,52,0,0,0
"2014年",0,0,0,0,0,0,36,0,0,0,0,0,0,0
"変異",0,0,0,0,0,0,35,0,0,0,0,0,0,0
"測定",0,0,0,0,0,0,34,44,0,0,0,0,0,0
"処理",0,0,0,0,0,0,32,0,0,0,0,0,0,0
"パッチ",0,0,0,0,0,0,32,44,0,0,0,0,0,0
"草原",0,0,0,0,0,0,0,58,0,0,82,85,124,111
"攪乱",0,0,0,0,0,0,0,45,0,43,0,0,0,0
"津波",0,0,0,0,0,0,0,44,0,0,0,0,0,0
"2015年",0,0,0,0,0,0,0,36,0,0,0,0,0,0
"DNA",0,0,0,0,0,0,0,33,43,0,49,0,54,60
"食性",0,0,0,0,0,0,0,0,55,0,39,0,0,0
"形態",0,0,0,0,0,0,0,0,52,0,0,0,0,0
"実施",0,0,0,0,0,0,0,0,51,0,0,46,0,0
"検出",0,0,0,0,0,0,0,0,50,49,38,48,0,0
"記録",0,0,0,0,0,0,0,0,46,44,0,0,0,0
"熱帯",0,0,0,0,0,0,0,0,45,41,0,0,0,0
"2016年",0,0,0,0,0,0,0,0,43,0,0,0,0,0
"依存",0,0,0,0,0,0,0,0,42,0,0,48,0,0
"解明",0,0,0,0,0,0,0,0,0,49,0,0,0,0
"指標",0,0,0,0,0,0,0,0,0,43,0,54,33,0
"相関",0,0,0,0,0,0,0,0,0,41,0,0,0,0
"2017年",0,0,0,0,0,0,0,0,0,40,0,0,0,0
"位置",0,0,0,0,0,0,0,0,0,38,0,0,0,0
"生育",0,0,0,0,0,0,0,0,0,0,57,0,0,50
"湿原",0,0,0,0,0,0,0,0,0,0,47,42,0,0
"間",0,0,0,0,0,0,0,0,0,0,39,0,0,0
"サイト",0,0,0,0,0,0,0,0,0,0,38,0,0,0
"2019年",0,0,0,0,0,0,0,0,0,0,0,41,0,0
"観測",0,0,0,0,0,0,0,0,0,0,0,0,51,0
"回復",0,0,0,0,0,0,0,0,0,0,0,0,37,0
"水生",0,0,0,0,0,0,0,0,0,0,0,0,34,0
"環境要因",0,0,0,0,0,0,0,0,0,0,0,0,33,0
"シカ",0,0,0,0,0,0,0,0,0,0,0,0,0,54
